5000 55000 4087
10000 55000 4087
15000 55000 4087
20000 55000 5000
25000 55000 5400
30000 55000 4837
35000 55000 4037
40000 55000 4237
45000 55000 4021
5000 50000 4087
10000 50000 4087
15000 50000 4087
20000 50000 5000
25000 50000 5400
30000 50000 4837
35000 50000 4037
40000 50000 4237
45000 50000 4021
5000 45000 5720
10000 45000 6060
15000 45000 6460
20000 45000 6080
25000 45000 5580
30000 45000 6010
35000 45000 5810
40000 45000 5280
45000 45000 5580
5000 40000 5720
10000 40000 6060
15000 40000 6460
20000 40000 6080
25000 40000 5580
30000 40000 6010
35000 40000 5810
40000 40000 5280
45000 40000 5580
5000 35000 5190
10000 35000 6500
15000 35000 6500
20000 35000 6740
25000 35000 6540
30000 35000 5730
35000 35000 5230
40000 35000 6520
45000 35000 6720
5000 30000 5190
10000 30000 6500
15000 30000 6500
20000 30000 6740
25000 30000 6540
30000 30000 5730
35000 30000 5230
40000 30000 6520
45000 30000 6720
5000 25000 5190
10000 25000 6500
15000 25000 6500
20000 25000 6740
25000 25000 6540
30000 25000 5730
35000 25000 5230
40000 25000 6520
45000 25000 6720
5000 20000 5090
10000 20000 6100
15000 20000 6000
20000 20000 6440
25000 20000 6340
30000 20000 5530
35000 20000 5030
40000 20000 6220
45000 20000 5920
5000 15000 5090
10000 15000 6100
15000 15000 6000
20000 15000 6440
25000 15000 6340
30000 15000 5530
35000 15000 5030
40000 15000 6220
45000 15000 5920
